name,"Category Path"
"Alien life","All categories > Cultural > Alien life"
"All categories","All categories"
"Crime and legal","All categories > Socio/political > Crime and legal"
Cultural,"All categories > Cultural"
"Death and disaster","All categories > Socio/political > Death and disaster"
Economy,"All categories > Socio/political > Economy"
Educatio,"All categories > Cultural > Educatio"
Energy,"All categories > Scientific/technical > Energy"
"Entertainment and culture","All categories > Cultural > Entertainment and culture"
Exploration,"All categories > Scientific/technical > Exploration"
General,"All categories > Odd > General"
"Health and medicine","All categories > Socio/political > Health and medicine"
"Love and relationships","All categories > Cultural > Love and relationships"
"Natural world","All categories > Scientific/technical > Natural world"
Odd,"All categories > Odd"
Old,"All categories > Odd > Old"
Politics,"All categories > Socio/political > Politics"
Religio,"All categories > Cultural > Religio"
"Royalty and monarchy","All categories > Cultural > Royalty and monarchy"
"Science and technology","All categories > Scientific/technical > Science and technology"
Scientific/technical,"All categories > Scientific/technical"
Socio/political,"All categories > Socio/political"
Sports,"All categories > Cultural > Sports"
Transport,"All categories > Scientific/technical > Transport"
"War and conflict","All categories > Socio/political > War and conflict"
